"","State","death","cases","Filed.week.ended","Initial.Claims","Reflecting.Week.Ended","Continued.Claims","Covered.Employment","Insured.Unemployment.Rate"
"1","Alabama",16075,434582,"5/16/2020","25,150","5/9/2020","203,677","1,929,897",10.55
"2","Alaska",392,19562,"5/16/2020","7,741","5/9/2020","50,049","308,137",16.24
"3","Arizona",21246,477224,"5/16/2020","31,957","5/9/2020","230,566","2,885,408",7.99
"4","Arkansas",3676,180568,"5/16/2020","11,427","5/9/2020","122,408","1,196,468",10.23
"5","California",114023,2963244,"5/16/2020","244,431","5/9/2020","3,565,153","17,330,010",20.57
"6","Colorado",41904,840148,"5/16/2020","18,054","5/9/2020","246,507","2,666,358",9.25
"7","Connecticut",115508,1438471,"5/16/2020","25,960","5/9/2020","297,088","1,653,302",17.97
"8","Delaware",8824,261454,"5/16/2020","5,554","5/9/2020","51,010","445,741",11.44
"9","District of Columbia",12147,254431,"5/16/2020","5,196","5/9/2020","68,844","579,419",11.88
"10","Florida",69977,1883445,"5/16/2020","225,404","5/9/2020","2,151,108","8,590,846",25.04
"11","Georgia",59805,1408510,"5/16/2020","177,731","5/9/2020","790,178","4,388,404",18.01
"12","Hawaii",731,33334,"5/16/2020","10,964","5/9/2020","145,543","621,474",23.42
"13","Idaho",3070,112147,"5/16/2020","5,800","5/9/2020","60,121","733,499",8.2
"14","Illinois",136990,3184464,"5/16/2020","72,780","5/9/2020","733,542","5,914,575",12.4
"15","Indiana",59061,1019030,"5/16/2020","29,436","5/9/2020","270,385","3,041,986",8.89
"16","Iowa",10659,451062,"5/16/2020","12,056","5/9/2020","184,641","1,531,621",12.06
"17","Kansas",7137,259999,"5/16/2020","11,238","5/9/2020","108,565","1,364,944",7.95
"18","Kentucky",13086,274092,"5/16/2020","47,321","5/9/2020","246,865","1,893,451",13.04
"19","Louisiana",96863,1556223,"5/16/2020","28,545","5/9/2020","326,504","1,891,334",17.26
"20","Maine",2690,67618,"5/16/2020","4,726","5/9/2020","92,207","603,932",15.27
"21","Maryland",63104,1318880,"5/16/2020","35,111","5/9/2020","253,212","2,555,073",9.91
"22","Massachusetts",187148,3211137,"5/16/2020","38,684","5/9/2020","589,545","3,568,892",16.52
"23","Michigan",187723,2188442,"5/16/2020","56,715","5/9/2020","994,188","4,305,711",23.09
"24","Minnesota",21658,443596,"5/16/2020","28,893","5/9/2020","427,690","2,864,234",14.93
"25","Mississippi",17004,399703,"5/16/2020","24,242","5/9/2020","189,886","1,109,819",17.11
"26","Missouri",20036,433190,"5/16/2020","28,244","5/9/2020","261,840","2,794,254",9.37
"27","Montana",724,25316,"5/16/2020","3,660","5/9/2020","53,786","455,906",11.8
"28","Nebraska",4014,297366,"5/16/2020","5,839","5/9/2020","62,962","963,512",6.53
"29","Nevada",13160,284048,"5/16/2020","17,837","5/9/2020","369,041","1,379,654",26.75
"30","New Hampshire",5154,129955,"5/16/2020","8,794","5/9/2020","114,450","649,845",17.61
"31","New Jersey",366607,6112503,"5/16/2020","42,365","5/9/2020","601,770","4,025,826",14.95
"32","New Mexico",7841,199243,"5/16/2020","7,356","5/9/2020","103,949","802,978",12.95
"33","New York",1168707,16151832,"5/16/2020","223,962","5/9/2020","1,873,935","9,408,510",19.92
"34","North Carolina",21665,641738,"5/16/2020","46,913","5/9/2020","605,709","4,402,750",13.76
"35","North Dakota",1386,63314,"5/16/2020","2,619","5/9/2020","32,399","412,797",7.85
"36","Ohio",53912,1007760,"5/16/2020","46,862","5/9/2020","704,784","5,346,565",13.18
"37","Oklahoma",11346,205920,"5/16/2020","33,440","5/9/2020","135,229","1,568,967",8.62
"38","Oregon",5511,147113,"5/16/2020","23,539","5/9/2020","290,151","1,914,153",15.16
"39","Pennsylvania",142990,2539636,"5/16/2020","62,516","5/9/2020","1,008,886","5,814,461",17.35
"40","Puerto Rico",4586,96140,"5/16/2020","10,923","5/9/2020","152,823","856,124",17.85
"41","Rhode Island",16162,443621,"5/16/2020","3,883","5/9/2020","89,247","473,597",18.84
"42","South Carolina",13213,344396,"5/16/2020","29,899","5/9/2020","256,676","2,087,060",12.3
"43","South Dakota",1274,136245,"5/16/2020","3,891","5/9/2020","25,186","417,997",6.03
"44","Tennessee",11236,646389,"5/16/2020","27,990","5/9/2020","332,745","3,278,927",10.15
"45","Texas",45963,1726957,"5/16/2020","134,065","5/9/2020","1,300,576","12,304,547",10.57
"46","Utah",2771,271736,"5/16/2020","6,228","5/9/2020","86,298","1,474,336",5.85
"47","Vermont",2481,48284,"5/16/2020","2,199","5/9/2020","55,103","303,379",18.16
"48","Virgin Islands",198,3580,"5/16/2020","66","5/9/2020","3,572","35,422",10.08
"49","Virginia",32365,984116,"5/16/2020","44,699","5/9/2020","403,557","3,739,821",10.79
"50","Washington",45652,868307,"5/16/2020","140,119","5/9/2020","1,045,456","3,351,028",31.2
"51","West Virginia",2170,61763,"5/16/2020","5,026","5/9/2020","98,794","667,871",14.79
"52","Wisconsin",17158,442036,"5/16/2020","31,287","5/9/2020","308,397","2,853,837",10.81
"53","Wyoming",320,30938,"5/16/2020","2,303","5/9/2020","17,335","270,013",6.42
